customer,event,year,sample_id,sample_type_id,antibody_1,antibody_2,abo,rh,antigens,is_dat_positive
API,1st,2023,RED-01,RBC3_2ml,,,Asub B,Positive,A1-neg,FALSE
API,1st,2023,RED-02,RBC3_2ml,,,O,Positive,E-neg,FALSE
API,1st,2023,RED-03,RBC3_2ml,,,B,Positive,K-neg,FALSE
API,1st,2023,RED-04,RBC3_2ml,,,O,Positive,,FALSE
API,1st,2023,RED-05,RBC3_2ml,,,A1,Positive,A1-pos,FALSE
API,1st,2023,SER-01,SER_3ml,,,,,FALSE,
API,1st,2023,SER-02,SER_3ml,Anti-E,,,,FALSE,
API,1st,2023,SER-03,SER_3ml,Anti-K,,,,FALSE,
API,1st,2023,SER-04,SER_3ml,,,,,FALSE,
API,1st,2023,SER-05,SER_3ml,,,,,FALSE,
API,1st,2023,DNR-01,RBC3_2ml,,,B,Positive,E-pos K-neg,FALSE
API,1st,2023,AUT-01,WB15_4ml,,,A1,Negative,A1-pos,FALSE
API,1st,2023,AUT-02,WB15_4ml,Anti-c,,O,Positive,c-neg,FALSE
API,1st,2023,AUT-03,WB15_4ml,,,O,Negative,,FALSE
API,1st,2023,AUT-04,WB15_4ml,Anti-Fya,,O,Positive,Fya-neg,FALSE
API,1st,2023,AUT-05,WB15_4ml,,,B,Positive,,FALSE
API,1st,2023,ADR-01,RBC25_2ml,,,O,Positive,c-neg Fya-pos,FALSE
API,1st,2023,DAT-01,RBC4_1ml,,,,,TRUE,
API,1st,2023,DAT-02,RBC4_1ml,,,,,FALSE,
API,1st,2023,ADA-01,DAT15_4ml,,,,,FALSE,
API,1st,2023,ADA-02,DAT15_4ml,,,,,TRUE,
API,1st,2023,ELU-01,RBC50_2ml,Anti-D,,,,TRUE,
API,1st,2023,ELU-02,RBC50_2ml,Anti-E,,,E-pos,TRUE,
API,1st,2023,RH-01,RBC35_05ml,,,Negative,,FALSE,
API,1st,2023,RH-02,RBC35_05ml,,,Positive,,FALSE,
API,1st,2023,RH-03,RBC35_05ml,,,Negative,,FALSE,
API,1st,2023,RH-04,RBC35_05ml,,,Positive,,FALSE,
API,1st,2023,RH-05,RBC35_05ml,,,Positive,,FALSE,
API,1st,2023,EXM-01,RBC3_2ml,,,O,Positive,,FALSE
API,1st,2023,EXM-02,RBC3_2ml,,,A,Positive,,FALSE
API,1st,2023,AXM-01,RBC30_2ml,,,A,Negative,,FALSE
API,1st,2023,AXM-02,RBC30_2ml,,,O,Positive,,FALSE
API,1st,2023,ATA-01,SER_2ml,,,,,FALSE,
API,1st,2023,ATD-01,SER_2ml,,,,,FALSE,
API,1st,2023,TTR-01,RBC3_3ml,,,A1,Positive,A1-pos,FALSE
API,1st,2023,EDU-01,RBC3_4ml,,,,,FALSE,
API,1st,2023,EDU-02,SER_4ml,,,,,FALSE,
API,2nd,2023,RED-06,RBC3_2ml,,,O,Positive,S-neg,FALSE
API,2nd,2023,RED-07,RBC3_2ml,,,A1B,Positive,A1-pos,FALSE
API,2nd,2023,RED-08,RBC3_2ml,,,A,Negative,,FALSE
API,2nd,2023,RED-09,RBC3_2ml,,,O,Positive,c-neg,FALSE
API,2nd,2023,RED-10,RBC3_2ml,,,A1,Positive,A1-pos,FALSE
API,2nd,2023,SER-06,SER_3ml,Anti-S,,,,FALSE,
API,2nd,2023,SER-07,SER_3ml,,,,,FALSE,
API,2nd,2023,SER-08,SER_3ml,,,,,FALSE,
API,2nd,2023,SER-09,SER_3ml,Anti-c,,,,FALSE,
API,2nd,2023,SER-10,SER_3ml,,,,,FALSE,
API,2nd,2023,DNR-02,RBC3_2ml,,,O,Positive,c-pos S-pos,FALSE
API,2nd,2023,AUT-06,WB15_4ml,,,AB,Positive,,FALSE
API,2nd,2023,AUT-07,WB15_4ml,,,O,Positive,,FALSE
API,2nd,2023,AUT-08,WB15_4ml,Anti-E,,A1,Positive,A1-pos E-neg,FALSE
