customer,event,year,sample_id,sample_type_id,antibody_1,antibody_2,abo,rh,antigens,is_dat_positive
Licon,1st,2023,L1PR1,RBC8_5ml,,,B,Positive,N/A,FALSE
Licon,1st,2023,L1PS1,SER_5ml,,,,,N/A,FALSE
Licon,1st,2023,L1PR2,RBC8_5ml,,,O,Negative,N/A,FALSE
Licon,1st,2023,L1PS2,SER_5ml,,,,,N/A,FALSE
Licon,1st,2023,L2PR1,RBC8_5ml,,,A1,Negative,A1-pos E-neg K-neg,FALSE
Licon,1st,2023,L2PS1,SER_5ml,Anti-E,Anti-K,,,N/A,FALSE
Licon,1st,2023,L2DR1,RBC8_5ml,,,A1,Negative,A1-pos E-neg K-pos,FALSE
Licon,1st,2023,L3PR1,RBC8_5ml,,,A1,Negative,A1-pos E-neg K-neg,FALSE
Licon,1st,2023,L3PS1,SER_5ml,Anti-E,Anti-K,,,N/A,FALSE
Licon,1st,2023,L3DR1,RBC8_5ml,,,A1,Negative,A1-pos E-neg K-pos,FALSE
Licon,2nd,2023,L1PR1,RBC8_5ml,,,A1,Negative,A1-pos,FALSE
Licon,2nd,2023,L1PS1,SER_5ml,,,,,N/A,FALSE
Licon,2nd,2023,L1PR2,RBC8_5ml,,,O,Positive,N/A,FALSE
Licon,2nd,2023,L1PS2,SER_5ml,,,,,N/A,FALSE
Licon,2nd,2023,L2PR1,RBC8_5ml,,,O,Negative,Jka-neg,FALSE
Licon,2nd,2023,L2PS1,SER_5ml,Anti-D,Anti-Jka,,,N/A,FALSE
Licon,2nd,2023,L2DR1,RBC8_5ml,,,O,Negative,Jka-pos,FALSE
Licon,2nd,2023,L3PR1,RBC8_5ml,,,O,Negative,Jka-neg,FALSE
Licon,2nd,2023,L3PS1,SER_5ml,Anti-D,Anti-Jka,,,N/A,FALSE
Licon,2nd,2023,L3DR1,RBC8_5ml,,,O,Negative,Jka-pos,FALSE
Licon,3rd,2023,L1PR1,RBC8_5ml,,,A1B,Positive,N/A,FALSE
Licon,3rd,2023,L1PS1,SER_5ml,,,,,N/A,FALSE
Licon,3rd,2023,L1PR2,RBC8_5ml,,,A1,Negative,N/A,FALSE
Licon,3rd,2023,L1PS2,SER_5ml,,,,,N/A,FALSE
Licon,3rd,2023,L2PR1,RBC8_5ml,,,B,Positive,E-neg Fya-neg,FALSE
Licon,3rd,2023,L2PS1,SER_5ml,Anti-E,Anti-Fya,,,N/A,FALSE
Licon,3rd,2023,L2DR1,RBC8_5ml,,,O,Positive,E-neg Fya-neg,FALSE
Licon,3rd,2023,L3PR1,RBC8_5ml,,,B,Positive,E-neg Fya-neg,FALSE
