customer,event,year,sample_id,sample_type_id,antibody_1,antibody_2,abo,rh,antigens,is_dat_positive
OneWorld,1st,2023,BTME-A,WB15_4ml,Anti-Fya,,O,Positive,Fya-neg,FALSE
OneWorld,1st,2023,BTME-B,WB15_4ml,Anti-c,,O,Positive,c-neg,FALSE
OneWorld,1st,2023,BTME-C,WB15_4ml,,,A,Negative,,FALSE
OneWorld,1st,2023,BTME-D,WB15_4ml,,,O,Negative,,FALSE
OneWorld,1st,2023,BTME-E,WB15_4ml,,,B,Positive,,FALSE
OneWorld,1st,2023,CTME-X,RBC25_2ml,,,O,Positive,c-neg Fya-pos,FALSE
OneWorld,1st,2023,DATG-A,RBC4_1ml,,,Any,Any,,FALSE
OneWorld,1st,2023,DATG-B,RBC4_1ml,,,Any,Positive,,TRUE
OneWorld,1st,2023,IMHE-A,RBC8_4ml,,,O,Positive,E-neg Jka-neg,FALSE
OneWorld,1st,2023,IMHE-B,SER_4ml,Anti-E,Anti-Jka,,,,
OneWorld,1st,2023,IMHX-A,RBC8_4ml,,,O,Positive,E-neg Jka-neg,FALSE
OneWorld,1st,2023,IMHX-B,SER_4ml,Anti-E,Anti-Jka,,,,
OneWorld,1st,2023,IMHX-C,RBC8_4ml,,,O,Negative,E-neg Jka-neg,FALSE
OneWorld,1st,2023,IMHX-D,RBC8_4ml,,,O,Positive,E-neg Jka-pos,FALSE
OneWorld,2nd,2023,BTME-A,WB15_4ml,,,A,Positive,,FALSE
OneWorld,2nd,2023,BTME-B,WB15_4ml,,,B,Negative,,FALSE
OneWorld,2nd,2023,BTME-C,WB15_4ml,,,O,Positive,,FALSE
OneWorld,2nd,2023,BTME-D,WB15_4ml,Anti-S,,A,Positive,S-neg,FALSE
OneWorld,2nd,2023,BTME-E,WB15_4ml,Anti-Fyb,,O,Negative,Fyb-neg,FALSE
OneWorld,2nd,2023,CTME-X,RBC25_2ml,,,O,Positive,Fyb+ S-pos,FALSE
OneWorld,2nd,2023,DATG-A,RBC4_1ml,,,Any,Any,,FALSE
OneWorld,2nd,2023,DATG-B,RBC4_1ml,,,Any,Any,,FALSE
OneWorld,2nd,2023,IMHE-A,RBC8_4ml,,,B,Negative,K-neg,FALSE
OneWorld,2nd,2023,IMHE-B,SER_4ml,Anti-K,,,,,
OneWorld,2nd,2023,IMHX-A,RBC8_4ml,,,B,Negative,K-neg,FALSE
OneWorld,2nd,2023,IMHX-B,SER_4ml,Anti-K,,,,,
OneWorld,2nd,2023,IMHX-C,RBC8_4ml,,,O,Positive,K-pos,FALSE
OneWorld,2nd,2023,IMHX-D,RBC8_4ml,,,A,Positive,K-neg,FALSE
OneWorld,3rd,2023,IMHE-A,RBC8_4ml,,,O,Positive,Fyb-neg,TRUE
OneWorld,3rd,2023,IMHE-B,SER_4ml,Anti-Fyb,,,,,
OneWorld,3rd,2023,IMHX-A,RBC8_4ml,,,O,Positive,Fyb-neg,TRUE
OneWorld,3rd,2023,IMHX-B,SER_4ml,Anti-Fyb,,,,,
OneWorld,3rd,2023,IMHX-C,RBC8_4ml,,,A,Positive,Fyb-neg,FALSE
OneWorld,3rd,2023,IMHX-D,RBC8_4ml,,,O,Positive,Fyb-neg,FALSE
OneWorld,4th,2023,IMHE-A,RBC8_4ml,,,O,Positive,M-neg,FALSE
OneWorld,4th,2023,IMHE-B,SER_4ml,Anti-M,,,,,
OneWorld,4th,2023,IMHX-A,RBC8_4ml,,,O,Positive,M-neg,FALSE
OneWorld,4th,2023,IMHX-B,SER_4ml,Anti-M,,,,,
OneWorld,4th,2023,IMHX-C,RBC8_4ml,,,O,Positive,M-pos,FALSE
OneWorld,4th,2023,IMHX-D,RBC8_4ml,,,O,Positive,M-neg,FALSE
OneWorld,1st,2024,BTME-A,WB15_4ml,,,O,Negative,,FALSE
OneWorld,1st,2024,BTME-B,WB15_4ml,Anti-K,,B,Negative,K-neg,FALSE
OneWorld,1st,2024,BTME-C,WB15_4ml,,,O,Positive,,FALSE
OneWorld,1st,2024,BTME-D,WB15_4ml,Anti-s,,A,Positive,s-neg,FALSE
OneWorld,1st,2024,BTME-E,WB15_4ml,,,B,Negative,,FALSE
OneWorld,1st,2024,CTME-X,RBC25_2ml,,,O,Negative,K-neg s-pos,FALSE
OneWorld,1st,2024,DATG-A,RBC4_1ml,,,Any,Positive,,TRUE
OneWorld,1st,2024,DATG-B,RBC4_1ml,,,Any,Any,,FALSE
OneWorld,1st,2024,IMHE-A,RBC8_4ml,,,A,Positive,s-neg,TRUE
OneWorld,1st,2024,IMHE-B,SER_4ml,Anti-s,,,,,
OneWorld,1st,2024,IMHX-A,RBC8_4ml,,,A,Positive,s-neg,TRUE
OneWorld,1st,2024,IMHX-B,SER_4ml,Anti-s,,,,,
OneWorld,1st,2024,IMHX-C,RBC8_4ml,,,O,Negative,s-pos,FALSE
OneWorld,1st,2024,IMHX-D,RBC8_4ml,,,O,Positive,s-neg,FALSE
OneWorld,2nd,2024,BTME-A,WB15_4ml,,,A,Negative,,FALSE
OneWorld,2nd,2024,BTME-B,WB15_4ml,,,B,Positive,,FALSE
OneWorld,2nd,2024,BTME-C,WB15_4ml,Anti-Fya,,A,Positive,Fya-neg,FALSE
OneWorld,2nd,2024,BTME-D,WB15_4ml,,,O,Negative,,FALSE
OneWorld,2nd,2024,BTME-E,WB15_4ml,Anti-c,,O,Positive,c-neg,FALSE
OneWorld,2nd,2024,CTME-X,RBC25_2ml,,,O,Positive,c-pos Fya-neg,FALSE
OneWorld,2nd,2024,DATG-A,RBC4_1ml,,,Any,Any,,FALSE
OneWorld,2nd,2024,DATG-B,RBC4_1ml,,,Any,Positive,,TRUE
OneWorld,2nd,2024,IMHE-A,RBC8_4ml,,,O,Positive,K-neg Fya-neg,FALSE
OneWorld,2nd,2024,IMHE-B,SER_4ml,Anti-K,Anti-Fya,,,,
OneWorld,2nd,2024,IMHX-A,RBC8_4ml,,,O,Positive,K-neg Fya-neg,FALSE
OneWorld,2nd,2024,IMHX-B,SER_4ml,Anti-K,Anti-Fya,,,,
OneWorld,2nd,2024,IMHX-C,RBC8_4ml,,,O,Positive,K-neg Fya-neg,FALSE
OneWorld,2nd,2024,IMHX-D,RBC8_4ml,,,A,Positive,K-neg Fya-neg,FALSE
OneWorld,3rd,2024,BTME-A,WB15_4ml,,,AB,Positive,,FALSE
OneWorld,3rd,2024,BTME-B,WB15_4ml,Anti-D,,O,Negative,,FALSE
OneWorld,3rd,2024,BTME-C,WB15_4ml,,,A,Positive,,FALSE
OneWorld,3rd,2024,BTME-D,WB15_4ml,,,O,Negative,,FALSE
OneWorld,3rd,2024,BTME-E,WB15_4ml,Anti-E,,A,Positive,E-neg,FALSE
OneWorld,3rd,2024,CTME-X,RBC25_2ml,,,O,Positive,E-neg,FALSE
OneWorld,3rd,2024,DATG-A,RBC4_1ml,,,Any,Any,,FALSE
OneWorld,3rd,2024,DATG-B,RBC4_1ml,,,Any,Any,,FALSE
OneWorld,3rd,2024,IMHE-A,RBC8_4ml,,,O,Positive,E-neg,FALSE
OneWorld,3rd,2024,IMHE-B,SER_4ml,Anti-E,,,,,
OneWorld,3rd,2024,IMHX-A,RBC8_4ml,,,O,Positive,E-neg,FALSE
OneWorld,3rd,2024,IMHX-B,SER_4ml,Anti-E,,,,,
OneWorld,3rd,2024,IMHX-C,RBC8_4ml,,,AB,Positive,E-neg,FALSE
OneWorld,3rd,2024,IMHX-D,RBC8_4ml,,,O,Positive,E-pos,FALSE
OneWorld,4th,2024,IMHE-A,RBC8_4ml,,,O,Positive,Jka-neg,FALSE
OneWorld,4th,2024,IMHE-B,SER_4ml,Anti-Jka,,,,,
OneWorld,4th,2024,IMHX-A,RBC8_4ml,,,O,Positive,Jka-neg,FALSE
OneWorld,4th,2024,IMHX-B,SER_4ml,Anti-Jka,,,,,
OneWorld,4th,2024,IMHX-C,RBC8_4ml,,,O,Positive,Jka-neg,FALSE
OneWorld,4th,2024,IMHX-D,RBC8_4ml,,,O,Negative,Jka-pos,FALSE
OneWorld,1st,2025,BTME-A,WB15_4ml,Anti-E,,A,Positive,E-neg,FALSE
OneWorld,1st,2025,BTME-B,WB15_4ml,,,AB,Positive,,FALSE
OneWorld,1st,2025,BTME-C,WB15_4ml,Anti-D,,O,Negative,,FALSE
OneWorld,1st,2025,BTME-D,WB15_4ml,,,B,Positive,,FALSE
OneWorld,1st,2025,BTME-E,WB15_4ml,,,O,Negative,,FALSE
OneWorld,1st,2025,CTME-X,RBC25_2ml,,,O,Positive,E-pos,FALSE
OneWorld,1st,2025,DATG-A,DAT15_4ml,,,Any,Any,,FALSE
OneWorld,1st,2025,DATG-B,DAT15_4ml,,,Any,Positive,,TRUE
OneWorld,1st,2025,IMHE-A,RBC8_4ml,,,O,Positive,S-neg,FALSE
OneWorld,1st,2025,IMHE-B,SER_4ml,Anti-S,,,,,
OneWorld,1st,2025,IMHX-A,RBC8_4ml,,,O,Positive,S-neg,FALSE
OneWorld,1st,2025,IMHX-B,SER_4ml,Anti-S,,,,,
OneWorld,1st,2025,IMHX-C,RBC8_4ml,,,A,Negative,S-neg,FALSE
OneWorld,1st,2025,IMHX-D,RBC8_4ml,,,O,Positive,S-neg,FALSE
OneWorld,2nd,2025,BTME-A,WB15_4ml,Anti-Fyb,,O,Positive,Fyb-neg,FALSE
