customer,event,year,sample_id,sample_type_id,antibody_1,antibody_2,abo,rh,antigens,is_dat_positive
Randox,1st,2025,AUT-01,WB15_4ml,,,AB,Pos,N/A,FALSE
Randox,1st,2025,AUT-02,WB15_4ml,Anti-D,,O,Neg,N/A,FALSE
Randox,1st,2025,ADR-01,RBC25_2ml,,,O,Pos,N/A,FALSE
Randox,2nd,2025,AUT-03,WB15_4ml,Anti-c,,A,Pos,c-neg,FALSE
Randox,2nd,2025,AUT-04,WB15_4ml,,,B,Pos,N/A,FALSE
Randox,2nd,2025,ADR-02,RBC25_2ml,,,O,Neg,c-pos,FALSE
Randox,3rd,2025,AUT-05,WB15_4ml,,,B,Neg,N/A,FALSE
Randox,3rd,2025,AUT-06,WB15_4ml,Anti-s,,O,Pos,s-neg,FALSE
Randox,3rd,2025,ADR-03,RBC25_2ml,,,O,Pos,s-pos,FALSE
Randox,4th,2025,AUT-07,WB15_4ml,,,A,Pos,N/A,FALSE
Randox,4th,2025,AUT-08,WB15_4ml,Anti-Fya,,O,Neg,Fya-neg,FALSE
Randox,4th,2025,ADR-04,RBC25_2ml,,,O,Neg,Fya-pos,FALSE
